Title,Director,Cast,Year,Genre,combo
chambal ka badshah,S. Dinesh,danny kiran rom denzongpa manik raj,1986,unknown,danny kiran rom denzongpa manik raj unknown
chameli ki shaadi,Basu Chatterjee,kapoor prakash amrita anil singh om,1986,romance drama comedy,kapoor prakash amrita anil singh om romance drama comedy
chhota aadmi,Krishnakant,t jayshree mahuvakar kanodiya komal naresh,1986,unknown,t jayshree mahuvakar kanodiya komal naresh unknown
congregation,Muzaffar Ali,shabana shaikh azmi hattangadi farooq rohini,1986,drama,shabana shaikh azmi hattangadi farooq rohini drama
dahleez,Ravi Chopra,shroff jackie babbar sheshadri meenakshi raj,1986,family action drama,shroff jackie babbar sheshadri meenakshi raj family action drama
daku bijlee,Unknown,unknown,1986,unknown,unknown unknown
dancing city,Unknown,unknown,1986,romance,unknown romance
dharm adhikari,Unknown,jeetendra kumar pran dilip sridevi,1986,unknown,jeetendra kumar pran dilip sridevi unknown
dilwaala,K. Murali Mohana Rao,kapoor chakraborty patil meenakshi dulari pran smita shakti seshadri mithun,1986,unknown,kapoor chakraborty patil meenakshi dulari pran smita shakti seshadri mithun unknown
dosti dushmani,T. Rama Rao,kapoor jeetendra pran dhillon bhanupriya rishi poonam,1986,unknown,kapoor jeetendra pran dhillon bhanupriya rishi poonam unknown
durgaa maa,K.S. Reddy,beena kiran shubha khote banerjee raj,1986,unknown,beena kiran shubha khote banerjee raj unknown
duty,Ravikant Nagaich,bakshi bedi arun rakesh govinda,1986,unknown,bakshi bedi arun rakesh govinda unknown
ek aur sikander,Bhaskar Shetty,chakraborty amrish puri agnihotri rati mithun,1986,action,chakraborty amrish puri agnihotri rati mithun action
ek chadar maili si,Sukhwant Dhadda,kapoor malini dhillon rishi hema poonam,1986,drama,kapoor malini dhillon rishi hema poonam drama
ek main aur ek tu,Ravi Tandon,shashi rubina kapoor tanuja,1986,romance,shashi rubina kapoor tanuja romance
ek pal,Unknown,shah shabana shaikh azmi naseeruddin farooq,1986,drama,shah shabana shaikh azmi naseeruddin farooq drama
ek ruka hua faisla,Basu Chatterjee,annu kapoor deepak kejriwal zaheer kapur amitabh srivastava s m pankaj,1986,unknown,annu kapoor deepak kejriwal zaheer kapur amitabh srivastava s m pankaj unknown
fire,Rajaram Vankudre Shantaram,kolhapure padmini,1986,unknown,kolhapure padmini unknown
genesis,Mrinal Sen,shah shabana puri azmi naseeruddin om,1986,drama,shah shabana puri azmi naseeruddin om drama
ghar sansar,K. Bapaiah,khan sridevi jeetendra kader,1986,crime family drama,khan sridevi jeetendra kader crime family drama
haathon ki lakeeren,Unknown,shroff jackie kumar sanjeev zeenat aman,1986,family musical drama,shroff jackie kumar sanjeev zeenat aman family musical drama
ilzaam,Unknown,shashi kapoor anita kiran kothari shatrughan sinha neelam raj govinda,1986,drama romance,shashi kapoor anita kiran kothari shatrughan sinha neelam raj govinda drama romance
insaaf ki awaaz,D. Rama Naidu,kapoor richa rekha sharma anil,1986,action,kapoor richa rekha sharma anil action
inteqam ki aag,Unknown,mahendra kaajal kiran sandhu,1986,unknown,mahendra kaajal kiran sandhu unknown
jaal,Umesh Mehra,vinod rekha mehra jeetendra,1986,mystery thriller,vinod rekha mehra jeetendra mystery thriller
jadu nagari,K. Shankar,sridevi,1986,unknown,sridevi unknown
janbaaz,Feroz Khan,kapoor khan amrish rekha puri dimple feroz kapadia anil sridevi,1986,action drama,kapoor khan amrish rekha puri dimple feroz kapadia anil sridevi action drama
jeeva,Raj N. Sippy,khan amjad mandakini pran dutt sanjay,1986,action thriller,khan amjad mandakini pran dutt sanjay action thriller
jumbish: a movement - the movie,Salahuddin Parvez,khan inamdar padmini shafi kolhapure akbar,1986,romance,khan inamdar padmini shafi kolhapure akbar romance
jwala,Sudesh Issar,kapoor puneet goga issar kamal,1986,unknown,kapoor puneet goga issar kamal unknown
kaanch ki deewar,M.N. Yasin,kapoor patil kumar smita sanjeev shakti,1986,unknown,kapoor patil kumar smita sanjeev shakti unknown
kahan kahan se guzar,Unknown,kapoor anil,1986,family drama,kapoor anil family drama
kala dhanda goray log,Sanjay Khan,anita khan akbar amrita dutt sunil sanjay raj singh,1986,action drama,anita khan akbar amrita dutt sunil sanjay raj singh action drama
karma,Subhash Ghai,kapoor shroff jackie shah dara anupam kumar dilip nutan naseeruddin dhillon anil shakti kher sridevi singh poonam,1986,action drama,kapoor shroff jackie shah dara anupam kumar dilip nutan naseeruddin dhillon anil shakti kher sridevi singh poonam action drama
karamdaata,Shashilal Nair,kapoor chakraborty amrita shammi singh mithun,1986,unknown,kapoor chakraborty amrita shammi singh mithun unknown
khamosh nigahen,Unknown,deepti naval roshan rakesh,1986,unknown,deepti naval roshan rakesh unknown
khel mohabbat ka,Satish Duggal,kapoor shaikh dhillon shakti farooq poonam,1986,romance,kapoor shaikh dhillon shakti farooq poonam romance
kirayadar,Basu Chatterji,padmini babbar kolhapure dutt utpal raj,1986,drama comedy,padmini babbar kolhapure dutt utpal raj drama comedy
kismatwala,S.D. Narang,chakraborty asha parekh ranjeeta kaur mithun,1986,unknown,chakraborty asha parekh ranjeeta kaur mithun unknown
krishna-krishna,Chandrakant,sudhir dalvi biswajeet birbal,1986,unknown,sudhir dalvi biswajeet birbal unknown
love 86,Unknown,kapoor inamdar kothari shafi asrani neelam farah tanuja rohan govinda,1986,unknown,kapoor inamdar kothari shafi asrani neelam farah tanuja rohan govinda unknown
love and god,K. Asif,kumar pran sanjeev agha jayant nimmi,1986,unknown,kumar pran sanjeev agha jayant nimmi unknown
maa ki saugandh,Mukul Anand,unknown,1986,unknown,unknown unknown
main balwaan,Mukul Anand,chakraborty reeta meenakshi bhaduri dharmendra seshadri mithun,1986,unknown,chakraborty reeta meenakshi bhaduri dharmendra seshadri mithun unknown
mangal dada,Unknown,sarika dutt reena sunil roy,1986,unknown,sarika dutt reena sunil roy unknown
married woman,Unknown,kolhapure jeetendra padmini sridevi,1986,unknown,kolhapure jeetendra padmini sridevi unknown
mazloom,C.P. Dixit,kapoor feroz goga bina,1986,crime action drama,kapoor feroz goga bina crime action drama
mera dharam,Bapu,kapoor shroff jackie amrita shakti singh,1986,unknown,kapoor shroff jackie amrita shakti singh unknown
mera haque,Ajay Kashyap,anita grover dutt sanjay gulshan raj,1986,unknown,anita grover dutt sanjay gulshan raj unknown
mohabbat ki kasam,K. Pappu,anita dharmendra rajesh khanna tanuja raj,1986,action drama,anita dharmendra rajesh khanna tanuja raj action drama
muddat,K. Bapaiah,pradha chakraborty jaya urmila bhatt mithun,1986,comedy crime action drama,pradha chakraborty jaya urmila bhatt mithun comedy crime action drama
musafir,Jabbar Patel,shah moon rekha naseeruddin sen,1986,drama,shah moon rekha naseeruddin sen drama
naache mayuri,T. Rama Rao,suman sudha aruna irani shekhar chandran,1986,family drama,suman sudha aruna irani shekhar chandran family drama
naam,Mahesh Bhatt,gaurav akash kumar amrita dutt dhillon nutan khurana paresh sanjay singh rawal poonam,1986,unknown,gaurav akash kumar amrita dutt dhillon nutan khurana paresh sanjay singh rawal poonam unknown
nagina,Harmesh Malhotra,kapoor prem amrish puri jagdeep chopra rishi sridevi,1986,fantasy romance,kapoor prem amrish puri jagdeep chopra rishi sridevi fantasy romance
nain mile chain kahan,Unknown,kapoor kamal,1986,unknown,kapoor kamal unknown
naseeb apna apna,Rama Rao Tatineni,kapoor naaz farha rishi,1986,unknown,kapoor naaz farha rishi unknown
nasihat,Aravind Sen,deepti shabana naval rajesh azmi khanna,1986,family drama,deepti shabana naval rajesh azmi khanna family drama
new delhi times,Unknown,unknown,1986,drama,unknown drama
om,Unknown,mandakini rajesh khanna,1986,horror,mandakini rajesh khanna horror
pahunchey huwe log,Johnny Walker,kapoor inamdar shafi meenakshi shakti rishi seshadri,1986,comedy,kapoor inamdar shafi meenakshi shakti rishi seshadri comedy
palay khan,Ashim S. Samanta,shroff jackie naaz dhillon farha poonam,1986,action thriller,shroff jackie naaz dhillon farha poonam action thriller
panchavati,Basu Bhattacharya,deepti khan naval akbar suresh oberoi,1986,unknown,deepti khan naval akbar suresh oberoi unknown
parampara,Prakash Jha,unknown,1986,unknown,unknown unknown
patton ki bazi,Ram Govind,sippy rajan khushboo swapna,1986,unknown,sippy rajan khushboo swapna unknown
peechha karro,Pankaj Parashar,khan iyer amjad baswani ravi kalpana,1986,comedy thriller,khan iyer amjad baswani ravi kalpana comedy thriller
preeti,Saawan Kumar,prem kapoor padmini kolhapure rajiv chopra,1986,drama,prem kapoor padmini kolhapure rajiv chopra drama
pyaar ka sindoor,Bapu,kapoor jyoti anil v somayajulu j,1986,unknown,kapoor jyoti anil v somayajulu j unknown
pyaar ke do pal,Rajiv Mehra,chakraborty jayapradha simple kapadia mithun,1986,unknown,chakraborty jayapradha simple kapadia mithun unknown
pyar ho gaya,Girish Manukant,ranjeet wadhavan mahuvakar avinash komal raj,1986,romance,ranjeet wadhavan mahuvakar avinash komal raj romance
pyar kiya hai pyar karenge,Vijay Reddy,kapoor anita padmini kolhapure anil raj,1986,drama romance,kapoor anita padmini kolhapure anil raj drama romance
qatil aur ashiq,Swaroop Kumar,kaushal iyer shoma anand kanan kalpana,1986,unknown,kaushal iyer shoma anand kanan kalpana unknown
qatl,R.K. Nayyar,shatrughan sinha kumar ranjeeta sanjeev kaur,1986,mystery thriller,shatrughan sinha kumar ranjeeta sanjeev kaur mystery thriller
ram milai jodi,H.S. Kanwal,lalita kalpana pawar iyer,1986,unknown,lalita kalpana pawar iyer unknown
ricky,Ashok V. Bhushan,amrish puri goswami pran nutan kunal,1986,family drama,amrish puri goswami pran nutan kunal family drama
suhaagan,Rama Rao Tatineni,rekha jeetendra pran anuradha govinda,1986,romance family drama,rekha jeetendra pran anuradha govinda romance family drama
sajna saath nibhana,Jwalamukhi,kapoor anand dr dharmendra satyendra,1986,drama,kapoor anand dr dharmendra satyendra drama
samay ki dhaara,Sisir Mishra,vinod mehra shatrughan sinha shabana azmi,1986,drama,vinod mehra shatrughan sinha shabana azmi drama
samundar,Rahul Rawail,anupam sunny dhillon deol kher poonam,1986,adventure crime action thriller drama,anupam sunny dhillon deol kher poonam adventure crime action thriller drama
sasti dulhan mahenga dulha,Bhappi Sonie,beena arun anand mahesh banerjee,1986,drama,beena arun anand mahesh banerjee drama
shart,Ketan Anand,shah shabana azmi naseeruddin kanwaljit singh,1986,mystery drama thriller,shah shabana azmi naseeruddin kanwaljit singh mystery drama thriller
saveray wali gaadi,Bharathi Rajaa,prem sunny dhillon chopra deol poonam,1986,unknown,prem sunny dhillon chopra deol poonam unknown
shatru,Pramod Chakravorty,shabana rajesh khanna kumar sadique ashok,1986,crime adventure action,shabana rajesh khanna kumar sadique ashok crime adventure action
sheela,Deepak Balraj Vij,anita kharbanda kulbhushan patekar nana kanwar,1986,adventure thriller,anita kharbanda kulbhushan patekar nana kanwar adventure thriller
singhasan,Krishna,jaya jeetendra prada mandakini,1986,unknown,jaya jeetendra prada mandakini unknown
swarag se sunder,K. Bappiah,prem khan jaya padmini kader kolhapure jeetendra chopra prada mithun,1986,unknown,prem khan jaya padmini kader kolhapure jeetendra chopra prada mithun unknown
swarthi,Radhakant,inamdar shafi,1986,unknown,inamdar shafi unknown
swati,Kranthi Kumar,shashi kapoor sheshadri meenakshi sharmila tagore,1986,drama,shashi kapoor sheshadri meenakshi sharmila tagore drama
tahkhana,"Shyam Ramsay, Tulsi Ramsay",bahadur deepak jung rana hemant birje,1986,horror action drama,bahadur deepak jung rana hemant birje horror action drama
tan-badan,Anand,jyoti govinda patel khushboo,1986,unknown,jyoti govinda patel khushboo unknown
teesra kinara,Krishnakant,anita patil babbar smita raj,1986,romance,anita patil babbar smita raj romance
teri aarzoo,Ranjeeta,unknown,1986,unknown,unknown unknown
the living corpse,Manmohan Sabir,mohan choti aakash birbal,1986,unknown,mohan choti aakash birbal unknown
trikon ka chauta kon,Unknown,ghatge swaroop sampat priyadarshinee vijayendra,1986,unknown,ghatge swaroop sampat priyadarshinee vijayendra unknown
veer bhimsen,Unknown,dara anjana mumtaz jayshree singh gadkar,1986,unknown,dara anjana mumtaz jayshree singh gadkar unknown
vikram betaal,Shantilal Soni,deepika anjana mumtaz manher desai,1986,fantasy,deepika anjana mumtaz manher desai fantasy
waapsi,Surendra Mohan,jaywant rajesh khanna kausar heena nalini,1986,mystery,jaywant rajesh khanna kausar heena nalini mystery
woman,Unknown,kapoor shashi shakti zeenat aman,1986,unknown,kapoor shashi shakti zeenat aman unknown
yeh preet na hogi kam,Sheetal,ganguli kiran preeti kumar,1986,unknown,ganguli kiran preeti kumar unknown
zindagani,Prabhat Roy,chakraborty agnihotri gulzar rakhee rati mithun,1986,unknown,chakraborty agnihotri gulzar rakhee rati mithun unknown
108 teerthyatra,Rajpati,bhatt anand pravin nayan jeetu,1987,fantasy drama comedy,bhatt anand pravin nayan jeetu fantasy drama comedy
7 saal baad,S.U. Syed,anand major chaudhary chandrashekhar anil,1987,fantasy horror drama romance,anand major chaudhary chandrashekhar anil fantasy horror drama romance
aag hi aag,Shibu Mitra,moushumi shatrughan sinha chatterjee neelam dharmendra,1987,action,moushumi shatrughan sinha chatterjee neelam dharmendra action
aage mod hai,Unknown,unknown,1987,unknown,unknown unknown
aaj,Mahesh Bhatt,gaurav kiran babbar kumar raj,1987,unknown,gaurav kiran babbar kumar raj unknown
ahsaan,Balwant Dullat,khan kiran amjad babbar smita patel raj,1987,unknown,khan kiran amjad babbar smita patel raj unknown
anjaam,T. Hariharan,shashi kapoor inamdar malini shafi hema,1987,unknown,shashi kapoor inamdar malini shafi hema unknown
apne apne,Ramesh Behl,beena dan dhanoa atlee banerjee brar,1987,unknown,beena dan dhanoa atlee banerjee brar unknown
aulad,Vijay Sadanah,sridevi jeetendra jayapradha,1987,drama,sridevi jeetendra jayapradha drama
awam,B.R Chopra,patil kumar rajesh khanna smita ashok,1987,mystery adventure thriller,patil kumar rajesh khanna smita ashok mystery adventure thriller
bandhani,Ketan Mehta,unknown,1987,unknown,unknown unknown
banoo,"Madan Jain, Jayshree T.",unknown,1987,unknown,unknown unknown
besahara,B.R. Ishara,unknown,1987,unknown,unknown unknown
dacait,Rahul Rawail,sunny meenakshi sheshadri deol gulzar rakhee,1987,action,sunny meenakshi sheshadri deol gulzar rakhee action
dadagiri,Deepak S. Shivdasani,agnihotri dharmendra govinda rati,1987,crime romance action drama,agnihotri dharmendra govinda rati crime romance action drama
dak bangla,Keshu Ramsay,aaloka leena bhakti da bhansali,1987,horror,aaloka leena bhakti da bhansali horror
daku hasina,Ashok Roy,pradeep kumar rajnikanth zeenat aman,1987,unknown,pradeep kumar rajnikanth zeenat aman unknown
dance dance,B. Subhash,chakraborty patil mandakini smita mithun,1987,unknown,chakraborty patil mandakini smita mithun unknown
daraar,Unknown,pandey kiran chunky kumar,1987,unknown,pandey kiran chunky kumar unknown
deewana tere naam ka,Deepak Bahry,chakraborty leena master pandit vijeta bhagwan da mithun,1987,unknown,chakraborty leena master pandit vijeta bhagwan da mithun unknown
dil tujhko diya,Rakesh Kumar,gaurav sinha mala kumar agnihotri rati,1987,unknown,gaurav sinha mala kumar agnihotri rati unknown
diljalaa,Bapu,danny naaz farha denzongpa chopra rita bhaduri kamal,1987,crime romance action drama,danny naaz farha denzongpa chopra rita bhaduri kamal crime romance action drama
