Title,Director,Cast,Year,Genre,combo
chahungi tujhe bar bar,Unknown,unknown,1989,unknown,
chandni,Yash Chopra,vinod kapoor khanna rishi sridevi,1989,romance,
charana,Unknown,unknown,1989,unknown,
chingari,Ram Maheshwari,chandavarkar khan leena shatrughan sinha pran sanjay tiwari,1989,unknown,
clerk,Unknown,shashi kapoor manoj rekha ali mohammed kumar,1989,unknown,
daata,Sultan Ahmed,kapoor padmini kolhapure suresh shammi oberoi chakravorty mithun,1989,unknown,
daddy,Mahesh Bhatt,pooja kher anupam bhatt,1989,unknown,
dana paani,Unknown,unknown,1989,unknown,
dav pech,Unknown,unknown,1989,unknown,
deep,Raj Babbar,deepti naval kanwaljeet,1989,unknown,
desh ke dushman,Unknown,unknown,1989,unknown,
dil lagake dekho,Unknown,unknown,1989,unknown,
hero hiralal,"Ketan Mehta, V.N. Menon",kapoor shah deepa naseeruddin sahi sanjana,1989,drama action comedy,
hisaab khoon ka,Unknown,unknown,1989,unknown,
hum bhi insaan hain,Manivannan,shroff jackie jaya kothari dutt neelam sanjay prada,1989,unknown,
hum intezaar karenge,Unknown,unknown,1989,unknown,
jaaydaad,Unknown,unknown,1989,unknown,
jaisi karni waisi bharnii,Unknown,govinda,1989,unknown,
jawani ke gunah,Unknown,unknown,1989,unknown,
jism ka rishta,Unknown,unknown,1989,unknown,
joshilaay,Shekhar Kapoor,kapoor sunny meenakshi anil deol sridevi seshadri,1989,unknown,
kanoon apna apna,Gopal B.,madhuri behl kumar dilip nutan dutt dixit sanjay,1989,action,
khayal gatha,Kumar Shahani,kapoor dhillon rajat poonam,1989,drama,
ladaai,Unknown,unknown,1989,unknown,
ladki,Unknown,unknown,1989,unknown,
lal dupatta malmal ka,Unknown,unknown,1989,unknown,
lashkar,Dev Anand,unknown,1989,unknown,
love love love,Unknown,unknown,1989,unknown,
mahaadev,Unknown,unknown,1989,unknown,
mahal,Unknown,unknown,1989,unknown,
main azaad hoon,Unknown,bachchan azmi amitabh shabana,1989,unknown,
main tera dushman,Unknown,unknown,1989,unknown,
main tere liye,Vijay Anand,rajendra suneil sheshadri anand meenakshi kumar,1989,unknown,
maine pyar kiya,Sooraj R. Barjatya,khan mohnish berde behl bhagyashree salman laxmikant patwardhan,1989,drama romantic,
mujrim,Umesh Mehra,kapoor chakraborty madhuri dixit nutan grover shakti gulshan mithun,1989,action,
parinda,Vidhu Vinod Chopra,kapoor shroff jackie anupam patekar madhuri nana dixit anil kher,1989,unknown,
prem pratigyaa,Unknown,unknown,1989,unknown,
purani haveli,Unknown,unknown,1989,unknown,
raakh,Unknown,unknown,1989,unknown,
raasta,Unknown,unknown,1989,unknown,
rakhwala,Unknown,unknown,1989,unknown,
ram lakhan,Subhash Ghai,kapoor shroff jackie amrish madhuri puri dimple dixit kapadia anil gulzar rakhee,1989,comedy action romance,
santosh,Unknown,unknown,1989,unknown,
shanakht,Unknown,unknown,1989,unknown,
shehzaade,Unknown,unknown,1989,unknown,
shukriya,A. C. Trilok Chandra,kapoor prem beena amrita pran rajiv banerjee chopra singh,1989,unknown,
sikka,Unknown,shroff jackie dimple kapadia dharmendra,1989,unknown,
tere bina kya jeena,Unknown,unknown,1989,unknown,
toofan,Ketan Desai,kapoor bachchan meenakshi goga amrita pran amitabh seshadri singh kamal,1989,action,
touhean,Unknown,unknown,1989,unknown,
tridev,Rajiv Rai,shroff jackie shah murad raza anupam amrish madhuri puri sunny dixit naseeruddin bijlani sonam deol kher sangeeta,1989,action thriller,
tujhe nahin chhodunga,Unknown,unknown,1989,unknown,
ustaad,Unknown,unknown,1989,unknown,
vardi,Unknown,unknown,1989,unknown,
vicky dada,Unknown,unknown,1989,unknown,
zaher,Unknown,unknown,1989,unknown,
zakhm,Unknown,unknown,1989,unknown,
"aadhi haqeeqat, aadha fasana",Dilip Ghosh,unknown,1990,unknown,
aadmi aur apsara,"J. Om Prakash, K. Raghavendra Rao",amrish sridevi puri chiranjeevi,1990,unknown,
aaj ka arjun,K.C. Bokadia,bachchan jayapradha amitabh,1990,action drama,
aag ka daag ka dariya,S.V. Rajendra Singh,padmini rekha kolhapure kumar dilip amrita singh,1990,drama,
aag ka gola,David Dhawan,sunny dimple puran kapadia deol archana singh,1990,action,
aaj ke shahenshah,Shibu Mitra,babbar jeetendra kimi raj katkar,1990,unknown,
aakhri sangam,Unknown,nirosha ramki pandian aurn,1990,action romance,
aandhiyan,David Dhawan,sinha shatrughan mumtaz,1990,unknown,
aashiqui,Mahesh Bhatt,rahul agarwal anu roy,1990,drama romance,
abu kaliya,C.K. Kader,unknown,1990,unknown,
agneekaal,Unknown,sadashiv babbar anand tinnu raj amrapurkar,1990,crime action drama,
agneepath,Mukul S. Anand,chakraborty danny madhavi kothari bachchan neelam biswa denzongpa amitabh roy mithun,1990,action,
amba,Mohan Kumar,kapoor shabana sheshadri meenakshi azmi anil,1990,family,
amiri garibi,Harmesh Malhotra,kapoor rekha jeetendra rishi,1990,family,
andher gardi,Ashok Tyagi,kimi katkar,1990,unknown,
apmaan ki aag,Talukdaars,bedi adil rakesh amaan dasharat,1990,crime action comedy,
appu raja,Singeetham Srinivasa Rao,rupini hassan nagesh srividya gautami kamal,1990,comedy,
atishbaz,Mukhtar Ahmed,renu prem tom alter chopra arya,1990,unknown,
attilokasundari,Unknown,sridevi,1990,unknown,
aulad ki khatir,Unknown,unknown,1990,unknown,
awaargi,Mahesh Bhatt,kapoor sheshadri meenakshi paresh anil govinda rawal,1990,drama,
awaaz de kahan hai,Sibte Hassan Rizvi,annu bindu satyendra kapoor,1990,unknown,
awaragardi,Swaroop Kumar,murad raza aditya pancholi kimi katkar,1990,unknown,
awwal number,Dev Anand,khan dev sohini anand ekta aamir,1990,action,
azaad desh ke gulam,S.A. Chandrashekhar,vikas bedi rakesh anand pran bhagwat suresh,1990,family action,
baaghi: a rebel for love,Deepak Shivdasani,kapoor khan naghma shakti salman,1990,action romance,
baap numbri beta dus numbri,Unknown,kapoor khan jackie shroff sabeeha kader aditya pancholi shakti farah,1990,crime action comedy,
bahaar aane tak,Tariq Shah,mohan nischol roopali ganguly navin ram,1990,family,
bandh darwaza,"Shyam Ramsay, Tulsi Ramsay",khan kular kunika manjeet hashmat,1990,crime horror action,
chingariyan,Unknown,danny denzongpa,1990,unknown,
chor pe mor,Kapil Kapoor,naseeruddin karan shah neelam,1990,unknown,
c.i.d.,Ajay Goel,vinod amrita khanna suresh oberoi singh,1990,unknown,
college girl,Unknown,berry amita pankaj singh nangia veerendra,1990,unknown,
deewana mujh sa nahin,Y. Nageshwar Rao,madhuri khan aamir dixit,1990,romance,
dil,Indra Kumar,khan anupam madhuri dixit saeed kher aamir jaffrey,1990,romance drama comedy,
din dahade,Yash Chauhan,unknown,1990,unknown,
disha,Sai Paranjape,yadav patekar shabana nana azmi raghuvir,1990,musical drama comedy,
doodh ka karz,Ashok Gaikwad,prem shroff jackie neelam chopra,1990,crime action romance thriller,
drishti,Govind Nihalani,vasisht dimple mita kapadia kapur shekhar,1990,drama,
dushman,Shakti Samanta,sadashiv chakraborty mithun mandakini amrapurkar,1990,unknown,
ek doctor ki maut,Unknown,unknown,1990,drama,
ek number ka chor,Tajdar Amrohi,shagufta devgan aatish ali rita bhaduri,1990,crime action drama,
ghar ho to aisa,Kalpataru,kapoor kiran sheshadri meenakshi anil raj,1990,family,
ghar ki laxmi,Unknown,shilpa shirodkar,1990,unknown,
ghayal,Rajkumar Santoshi,moushumi amrish babbar puri sunny meenakshi chatterjee deol raj seshadri,1990,action thriller,
gulabi raaten,P. Venu,devan raj pramila mohan,1990,crime,
gunahon ka devta,Kawal Sharma,chakraborty chandrashekhar bijlani sangeeta mithun,1990,action,
haar jeet,Avtar Bhogal,inamdar bedi shafi puneet issar kabir,1990,unknown,
hatim tai,Babubhai Mistry,jeetendra walia bijlani sonu sangeeta,1990,fantasy,
hamari shaadi,Basu Chatterjee,akhil mishra,1990,unknown,
hum se na takrana,Dipak Bahry,shatrugan chakraborty leena sinha da mithun,1990,crime horror action drama,
izzatdaar,K. Bapaiah,madhuri kumar dixit dilip raghuvaran govinda,1990,drama thriller,
jaan-e-wafa,Rukun,pradeep khayyam shaikh rati agnihotri farooq,1990,unknown,
jagira,Unknown,danny denzongpa,1990,unknown,
jai shiv shankar,S.A. Chandrashekhar,jeetendra dimple rajesh khanna kapadia,1990,unknown,
jamai raja,A. Kodandarami Reddy,kapoor malini madhuri dixit anil hema,1990,drama,
jeene do,Unknown,shroff jackie naaz dutt farha sanjay,1990,action,
jeevan ek sanghursh,Rahul Rawail,kapoor madhuri dixit anil gulzar rakhee,1990,unknown,
kaafila,Sudhanshu Hakku,sadashiv juhi augustine chawla joy amrapurkar,1990,drama thriller,
kaarnama,Ranjeet,vinod kapoor katkar khanna kimi satyendra,1990,unknown,
kafan,Dhirendra Bohra,khan huma ghai tina jamuna,1990,horror,
kali ganga,Raj N. Sippy,dimple kapadia suresh oberoi govinda,1990,action,
kanoon ki zanjeer,P. Lakshman,unknown,1990,unknown,
karishma kali kaa,Ashok Punjabi,urmila c bhatt dubey dhawan anil s,1990,unknown,
kasam dhande ki,T. Gautam Bhatia,master birbal bhagwan suresh bhai,1990,comedy crime action drama,
khatarnaak,Unknown,anita naaz dutt farha sanjay raj,1990,crime action drama,
kishen kanhaiya,Rakesh Roshan,kapoor amrish madhuri puri shilpa shirodkar dixit anil,1990,sentiment drama,
police public,Esmayeel Shroff,arun jayshree vijay arora ila aidasani,1990,crime action drama,
pratibandh,Ravi Raja Pinisetty,juhi chawla chiranjeevi reddy ramus,1990,action,
pyar ka karz,K. Bapaiah,chakraborty meenakshi sonam dharmendra seshadri mithun,1990,unknown,
pyaar ka toofan,S.M. Iqbal,pandit vijayata pran aditya jamuna pancholi,1990,unknown,
pyar ke naam qurbaan,B. Subhash,chakraborty dimple mandakini kapadia mithun,1990,crime romance action drama,
pyasi nigahen,Unknown,chaddha ajinkya sahila birbal deo,1990,thriller,
qatil jawani,Unknown,harish babloo hari,1990,crime drama thriller,
qayamat ki raat,Harvey-Pappu,unknown,1990,unknown,
raeeszada,Bharat Kapoor,shashi kapoor asha parekh govinda,1990,unknown,
roti kee keemat,Ramesh Ahuja,sadashiv chakraborty bahadur mithun jung rana pran amrapurkar,1990,crime action drama,
sailaab,Deepak Balraj,inamdar shafi madhuri dixit aditya pancholi,1990,action romance,
sapne huye sakaar,Prema Karanth,unknown,1990,unknown,
shadyantra,Rajan Johri,urmila bhatt babbar ali ishrat raj,1990,crime action drama,
shaitani ilaaka,Kiran Ramsay,mehra dhawan neelam sunil kudia shehnaz,1990,horror,
shandaar,Unknown,chakraborty danny juhi meenakshi chawla seshadri mithun,1990,unknown,
shararat,Unknown,roshan shubha rakesh,1990,unknown,
sher dil,Jagdish Sidana,grover hattangadi gulshan dharmendra rohini,1990,crime action drama,
shera shamshera,S.R. Pratap,unknown,1990,unknown,
sheshnaag,K.R. Reddy,kapoor rekha jeetendra rishi,1990,unknown,
shiva,Ram Gopal Verma,raghuvaran amala nagarjuna,1990,action drama,
sun sajna,Unknown,sheela nair rajshri david,1990,unknown,
swarg,David Dhawan,juhi chawla rajesh khanna govinda,1990,drama,
tadap,Unknown,patekar meenakshi chunky nana pandey seshadri,1990,unknown,
taqdeer ka tamasha,Anand Gaekwad,sadashiv moushumi chatwal chatterjee suresh amrapurkar,1990,crime action drama,
tejaa,Ramnesh Puri,sonu dutt walia sanjay kimi katkar,1990,action,
teri talash mein,Unknown,bahadur amala jung rana rita bhaduri,1990,crime drama romance thriller,
thanedaar,Raj Sippy,jayapradha madhuri jeetendra dixit dutt sanjay,1990,crime action drama,
thodasa roomani ho jaayen,Amol Palekar,anita riju patekar bajaj nana kanwar,1990,musical drama,
tum mere ho,Tahir Hussain,khan aamir juhi chawla,1990,romance,
veeru dada,K.R. Reddy,amrita aditya pancholi dharmendra singh,1990,adventure action drama,
zahreelay,Jyotin Goel,jeetendra chunky dutt sanjay pandey,1990,action,
zakhmi zameen,Mahendra Shah,ali ishrat,1990,drama,
zimmedaaar,Santosh Kumar Chauhan,kapoor anita rajiv kimi raj katkar,1990,unknown,
100 days,Parto Ghosh,madhuri shroff jackie dixit,1991,thriller,
aag laga do sawan ko,Anup Malik,harish patel,1991,unknown,
aaj ka samson,Kuku Kapoor,chaddha kapoor sahila goga hemant birje,1991,action romance,
aakhri cheekh,Kiran Ramsay,ghatge dhawan vijay anil arora vijayendra,1991,horror,
afsana pyar ka,Shahjahan,khan aamir kothari neelam,1991,romance,
ajooba,Shashi Kapoor,dara dalip nath jaffrey kapoor amrish tahil bachchan anand shammi tinnu singh sushma seth narendra amitabh puri dimple kapadia sonam saeed rishi,1991,fantasy adventure,
akayla,Ramesh Sippy,shashi shroff jackie kapoor helen bachchan anand meenakshi stevenson amrita mahesh aditya amitabh pancholi kanwaljit seshadri singh keith,1991,drama,
antarnaad,Shyam Benegal,kharbanda kulbhushan shabana azmi karnad girish,1991,drama,
ayee milan ki raat,K. Pappu,kharbanda kulbhushan aruna irani rita bhaduri,1991,romance,
baarish,Narendra Grewal,rahul roy sheeba,1991,unknown,
baat hai pyaar ki,Unknown,archana joglekar,1991,unknown,
badnaam rishte,Keyan,pratap nalinikanth uma maheshwari chandra,1991,action drama thriller,
banjaran,Harmesh Malhotra,kapoor sridevi rishi,1991,unknown,
begunaah,Unknown,naaz kumar rajesh farha khanna ashok,1991,crime action drama,
benaam badsha,K. Ravi Shankar,kapoor juhi chawla hattangadi anil rohini,1991,romance,
bhabhi,Kishore Vyas,bhanupriya govinda juhi chawla,1991,family drama comedy,
bhediyon ka samooh,M.K. Shankar,ambekar ahuja praful l p brahmachari,1991,crime action drama,
dancer,Kishore Vyas,mohnish behl kumar krithi akshay singh,1991,romance,
deshwasi,Rajiv Goswami,malini manoj mandakini kumar dhillon hema poonam,1991,romance action drama,
maut ki sazaa,Devendra Khandelwal,anita kumar nath raj alok ashok,1991,crime,
dharam sankat,N.D. Kothari,vinod chaddha sahila amrita khanna singh,1991,family action drama,
diksha,Arun Kaul,kashyap patekar sulabha nana vijay arya,1991,drama,
dil hai ke manta nahin,Mahesh Bhatt,pooja khan aamir bhatt,1991,romance,
do matwale,Ajay Kashyap,grover dutt sanjay sonam gulshan,1991,action,
dushman devta,Anil Ganguly,dimple grover kapadia gulshan dharmendra,1991,action,
ek ghar,Girish Kasaravalli,deepti naval chanda hattangadi rohini,1991,unknown,
ek saas zindagi,Basu Bhattacharya,unknown,1991,unknown,
farishtay,Anil Sharma,vinod jayapradha tom khanna alter dharmendra,1991,action,
fateh,Talat Jani,shabana azmi dutt sanjay sonam,1991,action,
first love letter,Shiva,arvind koirala manisha grover gulshan singh,1991,romance,
ganga jamuna ki lalkaa,Kanti Shah,kapoor charan dev shagufta ali goga,1991,action,
ghar parivar,Unknown,kapoor moushumi kiran sheshadri meenakshi rajesh khanna rishi raj,1991,unknown,
great target,Unknown,pandey ashima bhalla nirmal,1991,action,
gunehgar kaun,Ashok Gaikwad,khan mohsin babbar mehta raj sujata,1991,action,
hafta bandh,Deepak Balraj Vij,shroff jackie ekta sohini,1991,unknown,
henna,Randhir Kapoor,kapoor bhave zeba ashwini bakhtiar saeed rishi jaffrey,1991,drama romance,
house no. 13,Baby,leena baby salim nair fateh vijaya,1991,horror,
hum,Mukul S. Anand,danny khan anupam katkar kader bachchan rajinikanth shilpa shirodkar denzongpa amitabh kher kimi govinda,1991,action drama,
indrajeet,K. V. Raju,gaurav jaffery jayapradha kothari bachchan kumar neelam amitabh saeed,1991,action drama,
inspector dhanush,"Shyam, Tulsi",suresh bijlani oberoi vishnuvardhan sangeeta,1991,unknown,
iraada,Indrajit Singh,moon shatrughan sinha puri sen om,1991,unknown,
izzat,Ashok Gaekwad,shroff jackie grover bijlani gulshan sangeeta,1991,action,
jaan ki kasam,Sushil Malik,krishna suresh oberoi ganguly saathi,1991,adventure,
jaan pechaan,Kamal Saigal,birbal sudha radha asrani chandran,1991,drama comedy,
jeena teri gali mein,Tinnu Anand,kapoor kunika amita kavita nangia,1991,romance,
jeene ki sazaa,Nazir Herekar,anita bhattacharya sudha abhi chopra chandran,1991,drama,
jeevan daata,Swaroop Kumar,chunky aditya pancholi pandey katkar kimi,1991,unknown,
jhooti shaan,Ranjan Bose,chakraborty mithun shabana azmi dhillon poonam,1991,drama,
jigarwala,Swaroop Kumar,shahid urmila bhatt biswajeet bijnori,1991,unknown,
jungle beauty,Dilip Gulati,puneet issar kumar joshina rajeev,1991,adventure action,
kadardaan,Kawal Sharma,sandeep,1991,unknown,
karz chukana hai,Vimal Kumar,kiran juhi chawla raj govinda,1991,action,
kasba,Kumar Shahani,hansra raina manohar k singh,1991,unknown,
kaun kare kurbanie,Arjun Hingorani,anita dharmendra walia sonu raj govinda,1991,drama,
khilaaf,Rajeev Nagpaul,madhuri pandey chunky dixit,1991,crime action comedy romance drama,
khoon ka karz,Mukul S. Anand,vinod dimple khanna dutt kapadia sanjay rajnikanth katkar kimi,1991,crime action drama,
khooni panja,Vinod Talwar,khan dhawan javed jagdeep anil,1991,horror,
khooni raat,Unknown,khan beena huma chadha saahil banerjee,1991,horror,
kohraam,Kuku Kohli,sadashiv chunky sonam pandey dharmendra amrapurkar,1991,unknown,
kurbaan,Deepak Bahry,khan ayesha jhulka dutt sunil salman,1991,romance,
lakhpati,Jal Baliwala,roy nirupa,1991,unknown,
lakshmanrekha,Sunil Sikand,vikas anand pran bhagwat suresh bijlani sangeeta,1991,drama,
lamhe,Yash Chopra,kapoor anupam waheeda anil kher sridevi rehman,1991,drama romance,
love,Suresh Krissna,khan amjad salman revathi,1991,romance,
maa,Ajay Kashyap,aruna jeetendra jayapradha irani,1991,drama,
mast kalandar,Rahul Rawail,kapoor dimple kapadia shammi dharmendra,1991,action,
meena bazar,Unknown,puri dasgupta poonam roopali ganguly om,1991,drama,
meet mere man ke,Mehul Kumar,inamdar prasenjit shafi salma chatterjee agha,1991,unknown,
mehandi ban gai khoon,R.S. Ghelan,jankidas juhi chawla birbal,1991,action,
mississippi masala,Mira Nair,sarita denzel choudhury washington,1991,social,
naamcheen,Ajit Dewani,joshi bahl grover suhas gulshan ektaa,1991,crime,
nachnewala gaanewale,Babbar Subhash,ganguly raja chandrashekhar duggal saathi,1991,unknown,
narsimha,N. Chandra,urmila sunny matondkar dimple kapadia deol,1991,action,
nazar,Mani Kaul,asha baig a dandavate kapur shekhar,1991,unknown,
numbri aadmi,Swaroop Kumar,bedi master rakesh ali bhagwan ishrat,1991,crime action drama,
paap ki aandhi,Mehul Kumar,naaz amrita aditya pancholi farah dharmendra singh,1991,unknown,
patthar ke phool,Anant Balani,vinod khan mehra tandon salman raveena,1991,romance thriller,
phool aur kaante,Sandesh Kohli,amrish puri jagdeep ajay aruna madhoo irani devgn,1991,thriller,
phool bane angaarey,Unknown,prem rekha rajnikanth chopra,1991,action,
pita,Govind Nihalani W,vimal satyadev dubey irfan bhagat,1991,unknown,
prahaar: the final attack,Nana Patekar,patekar madhuri dimple nana dixit kapadia,1991,action,
pratigyabadh,Ravi Chopra,chakraborty beena gaurav kothari kumar dutt neelam sunil banerjee mithun,1991,unknown,
pratikar,Rama Rao Tatineni,kapoor madhuri dixit anil gulzar rakhee,1991,crime action drama,
prem qaidi,K. Muralimohana Rao,kapoor inamdar karishma shafi harish kumar paresh rawal,1991,drama romantic,
pyaar ka saaya,Vinod Verma,sheeba rahul amrita singh roy,1991,drama,
pyar bhara dil,Chandra Barot,reema bedi lagoo hingoo rakesh dinesh,1991,drama romance,
qurbani rang layegi,Raj N. Sippy,padmini kolhapure dutt dhillon sanjay poonam,1991,family drama,
ramgarh ke sholay,Ajit Dewani,khan hingoo amjad anand kishore bhanushali dinesh,1991,crime action comedy romance drama,
ranbhoomi,Deepak Sareen,kapoor shatrughan kothari sinha jeetendra dimple neelam kapadia rishi,1991,action drama,
roohani taaqat,Mohan Bhakri,khan kiran javed kumar jagdeep,1991,horror,
rukvamati's mansion,Govind Nihalani,arun subash uttara jyoti chandra ila baokar,1991,unknown,
rupaye dus karod,Sikander Bharti,chunky amrita rajesh khanna pandey singh,1991,unknown,
saajan,Lawerence D'Souza,khan madhuri dixit dutt sanjay salman,1991,romance,
saathi,Mahesh Bhatt,khan mohsin usgaonkar varsha aditya pancholi,1991,action romance,
sadak,Mahesh Bhatt,bhatt deepak dutt sanjay pooja tijori,1991,romance,
sanam bewafa,Saawan Kumar Tak,khan danny pran kanchan denzongpa salman chandni,1991,unknown,
sapnon ka mandir,Pradip Jain,jeetendra jayapradha,1991,family crime action drama,
sau crore,Dev Anand,dev gokhale anand sonika vikram gill,1991,unknown,
saudagar,Subhash Ghai,amrish koirala puri manisha kumar dilip raaj,1991,drama romance,
saugandh,Raj Sippy,raakhee kumar ganguly akshay rupali,1991,family action,
shankara,Sudarshan Nag,deshpande alpana sunny sulabha deol,1991,unknown,
shikari: the hunter,Umesh Mehra,chakraborty shah usgaonkar irina varsha naseeruddin kushnareva mithun,1991,action,
shiv ram,Jagdish A. Sharma,sadashiv jeetendra aditya pancholi amrapurkar,1991,unknown,
swarg jaisaa ghar,Swaroop Kumar,babbar sumeet sheikh aashif saigal raj,1991,unknown,
swarg yahan narak yahan,Vimal Kumar,chakraborty sumalatha shilpa shirodkar mithun,1991,drama action comedy crime,
swayam,Mahesh Bhatt,waheeda rawal rehman paresh,1991,unknown,
thalapathi,Mani Ratnam,shobana rajinikanth mammootty,1991,crime drama,
the magnificent guardian,"Shyam Ramsay, Tulsi Ramsay",beena shagufta ali hemant banerjee birje,1991,unknown,
trinetra,Harry Baweja,chakraborty shilpa deepa shirodkar sahi dharmendra mithun,1991,action,
vishkanya,Jagmohan Mundra,bedi goswami pooja kunal kabir,1991,action,
vishnu-devaa,K. Pappu,kothari sunny aditya neelam pancholi deol,1991,unknown,
yaara dildara,Mirza Brothers,khan amjad sheikh ruchika aashif pandey,1991,drama romance,
yeh aag kab bujhegi,Sunil Dutt,bedi rekha dutt sunil kabir,1991,drama,
zaher,Jyoti Swaroop,kubal alka iqbal arjun durrani,1991,unknown,
yaad rakhegi duniya,Deepak Anand,aditya rukhsar pancholi rehman,1992,romance,
vishwatma,Rajiv Rai,amrish murad shah raza puri sunny divya chunky grover bharti naseeruddin jyotsna sonam deol gulshan pandey singh,1992,action,
vansh,Pappu Verma,sudesh anupam sohini ray berry ekta siddharth kher,1992,action,
dil ka kya kasoor,Lawrence D'Souza,divya manjeet berde prithvi bharti suresh kullar oberoi laxmikant,1992,romance,
insaaf ki devi,S. A. Chandrashekhar,kapoor khan kader rekha jeetendra shakti,1992,action,
shola aur shabnam,David Dhawan,anupam reema lagoo divya mohnish behl grover bharti nath bindu maruti guddi kher gulshan govinda alok,1992,action comedy,
raat,Ram Gopal Verma,hattangadi rohini revathi,1992,horror,
mere sajana saath nibhana,Rajesh Vakil,prem chakraborty juhi shantipriya chawla chopra actress mithun,1992,drama,
meera ka mohan,K. Ravi Shankar,bhave ashwini pran avinash wadhawan,1992,romance,
panaah,Krishnakant Pandya,shah kiran joshi ray kumar pallavi naseeruddin siddharth,1992,drama,
suryavanshi,Rakesh Kumar,sheeba khan akashdeep amrita salman singh,1992,drama,
current,K. Hariharan,deepti lagoo shriram puri naval savita prabhune om,1992,drama,
i love you,T. L. V. Prasad,reema lagoo prashanth actor tanuja,1992,romance,
adharm,Aziz Sejawal,anita shatrughan sinha shabana azmi dutt sanjay raj,1992,action,
jaan tere naam,Deepak Balraj Vij,rohit roy farheen,1992,romance,
sahebzaade,Ajay Kashyap,grover dutt aditya neelam pancholi sanjay gulshan,1992,action romance,
qaid mein hai bulbul,Ravindra Peepat,reema lagoo grover bhagyashree gulshan himalaya,1992,romance,
yudhpath,Ravi Ravan,sudesh sohini mohnish ray behl berry ekta siddharth,1992,action,
beta,Inder Kumar,kapoor anupam madhuri dixit aruna irani anil kher,1992,drama,
virodhi,Rajkumar Kohli,anita mehra kohli raj dutt harsha sunil armaan dharmendra,1992,action,
sarphira,Ashok Gaekwad,madhavi sumeet dutt sanjay saigal kimi katkar,1992,action,
saatwan aasman,Mahesh Bhatt,mushran bhatt azmi kapur vivek pooja shekhar tanvi,1992,romance,
mr bond,Raj N. Sippy,sheeba akashdeep dheer berde kumar akshay pankaj laxmikant,1992,action,
ghazab tamasha,Ranjeet,rahul agarwal anu roy,1992,comedy romance,
khuda gawah,Mukul S. Anand,danny kiran nagarjuna bachchan shilpa shirodkar kumar denzongpa amitabh sridevi,1992,drama,
inteha pyar ki,J. K. Bihari,kapoor rukhsar rehman rishi,1992,drama romance,
zindagi ek juaa,Prakash Mehra,kapoor amrish anupam madhuri puri dixit suresh anil oberoi kher,1992,crime drama,
jo jeeta wohi sikander,Mansoor Khan,khan ayesha bedi deepak julka pooja aamir tijori,1992,sport drama,
jaan se pyaara,Anand,kiran divya kumar bharti aruna irani govinda,1992,action drama,
humlaa,N. Chandra,kapoor sheshadri meenakshi anil kimi dharmendra katkar,1992,action drama,
tyagi,K. C. Bokadia,jaya prada bhagyashree rajnikant himalaya,1992,action drama,
khiladi,Abbas Mustan,ayesha deepak kumar julka akshay tijori,1992,musical thriller,
police officer,Ashok Gaikwad,kapoor shroff jackie deepak karisma tijori,1992,action drama,
prem deewane,Sachin,shroff jackie bhatt madhuri mushran dixit vivek pooja,1992,romance,
laat saab,Sunil Agnihotri,shroff jackie khan mohsin neelam,1992,suspense,
ek ladka ek ladki,Vijay Sadanah,khan neelam salman,1992,drama romance,
kasak,K. Bapaiah,kapoor chunky neelam rishi pandey,1992,drama romance,
deewana,Raj Kanwar,kapoor khan divya bharti rishi shahrukh,1992,drama romance,
jaagruti,Suresh Krishna,kapoor khan karisma salman,1992,action drama,
parda hai parda,K. Bapaiah,meena pandey chunky,1992,drama,
chamatkar,Rajiv Mehra,urmila khan shah matondkar naseeruddin shahrukh,1992,comedy,
aaj ka goonda raj,Ravi Raja Pinisetty,babbar meenakshi chiranjeevi raj seshadri,1992,crime action,
honeymoon,Surendra Menon,kapoor bhave ashwini usgaonkar varsha rishi,1992,romance,
mashooq,Mirza Brothers,julka ayesha khan ayub,1992,romance,
payal,Mahendra Shah,bhagyashree himalaya,1992,romance,
zulm ki hukumat,Bharat Rangachary,katkar chatterji kimi dharmendra govinda moushmi,1992,action,
nishchaiy,Esmayeel Shroff,vinod khan kapoor karisma khanna chatterji salman moushmi,1992,romance,
sapne sajan ke,Lawrence D'Souza,kapoor shroff jackie rahul karisma grover gulshan roy,1992,musical romance,
police aur mujrim,K. C. Bokadia,vinod wadhawan meenakshi kumar khanna raaj avinash nagma seshadri,1992,crime drama,
bekhudi,Rahul Rawail,sadanah kajol mankotia ajay tanuja kamal,1992,musical romance,
humshakal,Kalpataru,vinod wadhawan meenakshi khanna avinash nagma seshadri,1992,crime drama,
radha ka sangam,Kirti Kumar,govinda juhi chawla,1992,romance,
tahalka,Anil Sharma,shah swaroop joshi sohini javed shikha pallavi naseeruddin aditya ekta walia pancholi sonu dharmendra jaffrey,1992,action,
khel,Rakesh Roshan,kapoor madhuri dixit walia anil sonu,1992,drama comedy,
deedar,Pramod Chakravorty,kapoor anupam karisma kumar kher akshay,1992,drama romance,
mehboob mere mehboob,Gurdeep Singh,sinha bahl mohnish sujoy grover mukherjee pratibha gulshan,1992,romance,
bol radha bol,David Dhawan,kapoor juhi bahl mohnish chawla rishi,1992,comedy romance,
kal ki awaz,Ravi Chopra,sinha raj babbar amrita pratibha dharmendra singh,1992,social drama,
jeena marna tere sang,Vijay Reddy,dutt raveena tandon sanjay,1992,action,
isi ka naam zindagi,Kalidas,khan naaz pran farha aamir,1992,comedy,
heer ranjha,Harmesh Malhotra,kapoor sridevi anil pran,1992,romance,
