Title,Director,Cast,Year,Genre
anjaan,Amiya Chakravarty,h prakash pithavala prasad gulab devika kumar david fenty rajkumari p suresh v rani om girish desai ashok,1941,social
bahen,Mehboob Khan,meena bhudo kumari husn swaroop advani jaywant agashe harish sheikh rani mukhtar shahzadi banu kanhaiyalal nalini,1941,family drama
bambai ki sair a.k.a. holiday in bombay,Sarvottam Badami,kumtekar sabita jal bilimoria shobhana merchant samarth devi vatsala e ghory,1941,comedy
beti,Jayant Desai,ghorpure arun khursheed nagendra kumar billimoria vasanti kesarbai e ghory khatoon bhagwandas,1941,social family
bombaiwali (bambaiwali),Homi Wadia,shroff nadia master dalpat mansoor boman radharani bibijan chhotu azim miya fearless john mithu cawas sardar,1941,action
bulbule baghdad,K. Amarnath,khan marathe rasool indurani anant sadiq ghulam w m jayant yakub,1941,unknown
chandan,Dhirubhai Desai,kanta jamshedji kumari anwaribai nazir ashiq maya bannerji sadiq lalita hussain,1941,social
charnon ki dasi,Gajanan Jagirdar,jagirdar deshpande khote avinash vanmala kelkar durga kusum,1941,family drama
chaudhry,Niranjan Bhardawaj,noor mohammed pran esmail ghulam m jehan,1941,social
chitralekha,Kidar Nath Sharma,bharat nandrekar bhushan dulari leela mishra rajinder singh a monica s ram gyani desai mehtab,1941,costume drama
circus ki sundari,Balwant Bhatt,jal dhulia merchant puri l s a moti karim agha,1941,action
darpan,A. H. Essa,shobhana samarth essa balwant singh yakub,1941,social
darshan,Chimanlal Luhar,prem amirbai bhudo advani adib karnataki jyoti nazir kaushalya m miradevi shakir madhusudan,1941,social
dhandora,Charlie,banu husn charlie shamim dixit billimoria kesari e ghory bhagwandas,1941,comedy
doctor,Subodh Mitra,meenu master ahindra choudhury prakash amar bharati mullick jyoti nemo devi buddhadeb mukherjee panna rani indu pankaj,1941,social
garib ki ladki,Jyotish Mukherji,kamla c dulari mohammed hashmat jharia m ram hussain,1941,social
ghar ki laaj,V. M. Vyas,hadi shanta hublikar kalyani musharraf nazir jagdish majid sethi kaushalya mirza,1941,family drama
hamara desh,Jani Babu,amirbai jani n lily kumar alam a karnakaki khalil ansari anil babu rafiq,1941,social action
himmat,R. K. Shorey,shah ragini manorama majnu beg ghulam radharani qadir zahur,1941,action
jadui bandhan,Nanubhai Vakil,n shah mirajkar baburao shiraz a haroon sarojini ansari pehalwan garib rafiq,1941,fantasy science fiction
jawani ka rang,Saki,hussein inamdar mirajkar shakuntala roshanara ameer,1941,social
jhoola,Gyan Mukherjee,nawaz shah h mumtaz ali kumar chitnis leela aruna devi v desai ashok,1941,social
kanchan,Manibhai Vyas,arun mubarak vimala kumar chitnis leela vasishta kesari pramila,1941,social
kasauti,Ramchandra Thakur,meena n kumari baby sunalini prahlad veena a ansari rose devi maruti agha satish,1941,social
khazanchi,Moti B. Gidwani,d ramola jankidas ismail pran ajmal s m narang,1941,social
kurmai,J. K. Nanda,shah avtar a jagdish wasti sethi jeevan radharani ram shanti,1941,social
lagan,Nitin Bose,naresh nawab l bibi k jagdish devi nemo kanan sethi saigal rehmat bose,1941,drama romantic
laheri jeewan,S.M. Yusuf,khan kurbanjan husn prasad fatty w m banu gope,1941,action
madhusudhan,Balwant Bhatt,prasad gulab kumar ashalata maya bannerji jeevan badri,1941,social
mala,"Mahendra Thakore, P. Jairaj",khanjar kumari heera munshi jairaj athavale p nazir rose devi daya m jayant,1941,social drama
manthan,Ramji Arya,shroff hasan boman mansur rajkumari k m radharani dalpat sardar,1941,costume drama
masoom,S.F. Hasnain,khan ramola mazhar sajjan anees nazir sabir muzammil khwaja kashmiri mehtab,1941,social
mere raja,T. S. Mani,khan kanta bilimoria kumari anwaribai mazhar vazare moti vazre bibbo e shankar,1941,action
mere sajan,Ahmed H. Essa,urmila atish khan tuthi gulab rajkumari putlibai sayani w m jayant munchi,1941,social
meri khwahish,"Harbanslal, R. D. Rajput",sharifa mirajkar a ramesh kokila karim,1941,social
muslim ka lal,A. M. Khan,kalyani kumar samson alam ameena anil s benjamin,1941,action
nai roshni,"Chimankant Gandhi, L. Mehta",meena bhudo husn kumari advani sunalini baby amar harish sankatha prasad devi agha banu sardar kanhaiyalal akhtar,1941,social
naya sansar,N. R. Acharya,jagannath shah kaul kumar renuka mahesh p s nawaz mubarak sushil pithavala azurie suresh devi v david khurshid desai ashok f,1941,social
nirdosh,V. C. Desai,jani gulzar jaywant hemlata prasad sankatha ali nalini kayam agha tiwari satish kanhaiyalal mukesh,1941,social
padosi,V. Shantaram,khan jagirdar sarla vasant sumitra mazhar balwant balak gopal gajanan singh radhakrishan devi ram casshyap khatoon anees lajwanti,1941,social drama
paisa,G. P. Pawar,kanta kumari wadkar kale pandit shakuntala indira madhav raja paranjpye devaskar,1941,social
pardesi,Chaturbhuj Doshi,bilimoria khursheed snehprabha e motilal,1941,social
prabhat,Vishnu Vyas,jagannath nawaz shah kaul sushil pithavala jairaj s kumar azurie mahesh p suresh v david f khurshid desai,1941,social
pyaas,Ram Daryani,shamim ishwarlal gulab pradhan nazir snehprabha khatoon gope,1941,social
radhika,V. C. Desai,pesi bhudo advani sunalini jaywant sankata harish prasad veena jyoti devi patel kanhaiyalal nalini,1941,unknown
raj nartaki a.k.a. the court dancer,Modhu Bose,kapoor protima jal nayampalli thapan simeon sinha khambata benita gupta prithviraj da prabhat sadhana bose,1941,costume dance
red signal,Nari Ghadiali,urmila tuthi manchi noor bibijan samson agha benjamin jehan,1941,action
safed sawar,Nari Ghadiali,marathe fazlu mumtaz aatish yagnik anant thuthi sayani agha radharani navin munchi shahzadi,1941,action
sajjan,Dwarka Khosla,urmila husn batra jagdish agha sethi david banu satish gope,1941,social
sangam a.k.a. confluence,R. S. Junarrkar,kumtekar damuanna malvankar minakshi master vinayak khote sundarbai vatsala nandu salvi jog gupte,1941,social
sant sakhu,"Vishnupant Govind Damle, Sheikh Fattelal",wadkar sumitra shanta hansa kulkarni majumdar gauri shankar,1941,devotional legend biopic
sasural,Chaturbhuj Doshi,urmila popatlal madhuri noor tarabai kantilal miss iqbal bhim jehan motilal bhagwandas,1941,family drama
seedha rasta,Dawood Baig,sushil mumtaz kumar jilloobai a begum jagdish r sethi radharani pehalwan omkar,1941,social
shaadi,Jayant Desai,ghory ishwarlal madhuri khursheed tarabai dixit kantilal motilal bhagwandas,1941,social family drama
shahzadi,Jagatrai Pesumal Advani,kapoor khan navinchandra shah alaka bibijan abbas haroon mehar trilok sadiq gharib w m banu madhurika pramila,1941,costume
sikandar,Sohrab Modi,meena n jillobai ali kapoorsohrab prithviraj raja modi k vanmala singh sadiq sheela shakir zahur yakub,1941,historical epic drama
sipahi,Daud Chand,nisar madhavi saffi zohra mahomad baburao ahmed pehalwan a mohammed altaf ghulam nijamuddin sunder hiralal butt g,1941,action
suhana geet,M. A. Mirza,kapoor kamala ramola yagnik hadi trilok navin shakir ranibala,1941,social
swami a.k.a. the saint,A. R. Kardar,khan avtar ahmed jairaj prasad s majid nazir p devi sitara jeevan badri ram yakub,1941,social
taj mahal,Nanubhai Vakil,suraiya mubarak marathe indurani fakir kumar mohammed sarojini nazir khalil s ram,1941,historical drama
torpedo,N. A. Mansoori,munawwar fazlu dave sultana gulab s samson nazir ameena yashwant shahzadi,1941,action
tulsi,Gunjal,kapoor shalini jamshedji marathe prasad anant trilok srinivas badri,1941,devotional
ummeed,Manibhai Vyas,gharpore ishwarlal noor dixit prabha charubala devi bhim kesari jehan brijmala bhagwandas,1941,drama comedy
vanmala,Mohan Sinha,rasool bibijan prasad kumar banerji maya ghulam badri jeevan neela pravin,1941,social
zalim saudagar a.k.a. merchant of venice,J.J. Madan,haider kajjan khalil jehanara rani premlata bandi,1941,drama
aankh michouli,R.S. Choudhury,kapoor pratima jaywant anand prasad sulochana hadi jilloobai devi satish nalini,1942,social
amar asha,Shailen Ghosh,kamla yagnik varerkar bhim navin devaskar,1942,social
apna ghar,Debaki Bose,nimbalkar kaul mohan vimla apte shanta david mahesh jagdish chandra maruti maya bannerji vashishta jeevan sethi mishra gope,1942,social family drama
apna paraya,Ramchandra Thakur,pesi modak wadkar shahu shakuntala ali dulari sankatha prasad hansa rajrani patel kayam agha,1942,social
armaan,Kidar Nath Sharma,bedi shah shamim meera nagendra a rajkumari nazir rajinder motilal singh bhagwandas,1942,social
arzoo,"M. Issa, R.M. Vaidya",panna bhattacharya dhiraj purnima,1942,social
awaaz,Rafiq Rizvi,anwaribai danve banerjee maya wasti kailash swarnalata,1942,social
bahana,A.M. Khan,nawaz anwaribai effendi haroon ameena rafiq ansari benjamin shahzadi alaknanda yusuf,1942,social
barat,Gunjal,kumtekar shobhana nayampalli prakash samarth harish rampyari sankatha prasad musharraf vatsala manmohan kaushalya mirza,1942,social
basant,Amiya Chakravarty,pithawala baby mumtaz madhubala kanu ulhas suresh pramila roy shanti,1942,social
bhakta kabir,Rameshwar Sharma,bharat khan mohan vanmali sinha rai mazhar bhushan ramesh da padma devi gyani mehtab,1942,devotional biopic
bharat milap,Vijay Bhatt,prem amirbai kumari shobhana modak shahu adib samarth khote vimala shanta karnataki vashishta umakant ratanmala durga,1942,religious epic drama
bhakta surdas,Chaturbhuj Doshi,b khursheed l nagendra gharpure sharma k kesarbai bashir monica saigal m desai,1942,biopic drama
black out,Nari Ghadiali,raza habib mukhtar mansur ali bib?�jan mehdi sadiq shobha benjamin sardar nazira,1942,action
bolti bulbul,Dhirubhai Desai,mumtaz mirajkar mansur s kumar begum mehr nazir samson zebunissa anil sultana shahzadi alaknanda sardar,1942,action
bombay calling,Raja Yagnik,kumtekar janardhan rasool yagnik anant shirin vatsala bhim ghulam agha navin,1942,action
chandni,Jayant Desai,kamla baby ishwarlal khursheed dixit rajkumari noorjahan kesari shukla,1942,social
chauranghee,"Sibtain Fazli, Nabendusundar",amjad mehtab sajjan nazir kashmiri khatoon anees,1942,unknown
chudiyan,"L.J. Bhatt, K.J. Parmar",prem adib gulab mehr maya bannerji sultana jeevan,1942,unknown
das baje a.k.a. 10 o'clock,Raja Nene,urmila baby vasant thengdi shakuntala devraj paresh manaji bannerjee rao shiraz,1942,drama romantic
daughter of the jungle a.k.a. vanasundari,Ramanlal Desai,brijrani sunetra mirajkar amir baburao bano ali pehalwan bose,1942,adventure action
dhiraj,Chaturbhuj Doshi,ishwarlal khatoon rajkumari devi sitara kesari shukla bhagwandas,1942,social
dillagi,Balwant Bhatt,sushil wadkar kumar anuradha hansa agha,1942,social
dukh sukh,Ram Daryani,rama shah pratima shukul actor a vasanti devi sitara khatoon mukesh,1942,social
duniya ek tamasha,Dwarka Khosla,khan urmila shyam devaskar minoo cooper w m sunder sardar gope akhtar,1942,social
duniya tumhari hai,G.P. Pawar,kanta n kumari nandrekar a sadiq ansari gupte madhukar,1942,social
ek raat,Wahid-ud-din Zia-ud-din Ahmed,kapoor n mubarak prakash mumtaz bibijan gulab prithviraj rajkumari begum k shukla nina firoza singh yusuf,1942,social
fariyaad,Jayant Desai,rama mubarak shamim ishwarlal shukal noor jehan alaknanda,1942,social
farman,Nanubhai Vakil,khan anwaribai s kumar sarojini nazir sadiq anil w m ranibala,1942,social
garib,Ramchandra Thakur,n kumari veena a ansari rose agha surendra,1942,social
ghar sansar a.k.a. homelife,V.M. Vyas,khan musharaf mazhar kalyani kajjan nazir mirza sardar akhtar,1942,social family drama
gora kumbhar,Anand Kumar,lalita pawar,1942,biopic drama
haso haso ai duniyawallaon (haso haso ae duniya walo),Dwarka Khosla,samson gope shahzadi rattanbai devaskar,1942,social
jawab,P.C. Barua,kapoor chakraborty asit devbala c ahindra choudhury bikram barua baran jamuna p banerjee devi kanan ratin tulsi,1942,social
jawan ki pukar a.k.a. call of youth,Dinshaw Billimoria,urmila khan bilimoria afghan d harish kalyani samson w benjamin m alaknanda sandow,1942,action
jawani,Wajahat Mirza,husn nawab ali sankatha prasad a dulari r kayam agha surendra banu kabuli laddan,1942,social
jhankar,S. Khalil,shaukat mohan dulari kumar mohammed chandra altaf ghulam shahzadi gope pramila,1942,social
jungle princess,Homi Wadia,nadia radharani fearless john cawas shahzadi,1942,action
kalakar,A. Karim,jal merchant marathe ahmed anant fakir saiyyad mohammed mehar maya devi sultana fazlu ranibala,1942,social
kaljug,Nazir,kumar anuradha majid nazir azurie devi sitara gope,1942,social drama
khamoshi,R. C. Talwar,shyam manorama ramola rai actor kishore leela himmat amarnath nand gyani sunder mishra,1942,social
khandan,Shaukat Hussain Rizvi,n manorama noor mohammed pran g ibrahim ajmal ghulam jehan mota butt durga,1942,family drama
khilona a.k.a. khilauna/the toy,Sarvottam Badami,pesi pratima jairaj nagendra pradhan prabha p devi patel snehprabha satish kanhaiyalal,1942,social
kirti,Gunjal,sushil sunalini manchi rasool jairaj pawar mithu kumar p jagdish miya devi ghulam sethi thuthi lalita devaskar,1942,social
kisise na kehna,"Keshavrao Date, Krishna Gopal",shivdasani pahari sunetra keshavrao chitnis leela sanyal hari ghory shukla date,1942,social
kiski biwi,M. A. Mirza,kumtekar afghan bilimoria prasad gulab kalyani ahmed anuradha da fenty himalayawala vatsala saiyad e sandow,1942,social
kunwara baap,Kishore Sahu,protima nagar dhulia baby hadi gupta anjali nana da palsikar moni chatterjee devi amritlal lal,1942,unknown
lajwanti,Hiralal Doctor,khan fakir mohammed anuradha ashiq w m rattanbai hussain,1942,social
lalaji,"Chamankant Gandhi, Lalit Mehta",kumtekar sunalini amar abdul prasad katju jagdish maya devi dethi krishnakant vatsala badri kabuli yashodhara rehman yakub,1942,social drama
mahakavi kalidas,Niren Lahiri,karunu bannerjee ulhas padma devi biswas menaka chhabi,1942,biopic
maheman a.k.a. guest,Chaturbhuj Doshi,rama shamim ishwarlal madhuri kesari shukla bhagwandas,1942,social
malan,V. M. Vyas,balwant shanta hublikar kalyani musharraf jagdish mirza kashar sethi alaknanda rattanbai singh but,1942,social
mamaji,Narottam Vyas,pawar nandrekar nana palsikar leela misra maruti jeevan lalita yakub,1942,social family
mamta,I.A. Hafizji,n dara puttan pushpa akbar mohammed prince padma devi rani kalawati,1942,social
mata,Gunjal,urmila khanjar bhudo mubarak shobhana advani samarth munshi bibijan moti chandrakant himalayawala,1942,family drama
meenakshi,Modhu Bose,devbala sadhona rajlakshmi choudhury ahindra c najmal priti k majumdar devi rani panna dey sandhya hussain bose,1942,romantic melodrama
motorwali,A. M. Khan,anwaribai prakash mansur haroon ameena rafiq radharani sardar ranibala nazira,1942,action
muqabala,"Babubhai Mistri, Batuk Bhatt",jal rajni khan nadia khambatta mastana baby madhuri fearless nazira agha dalpat yakub shrinivas,1942,action role double drama
my village a.k.a. mera gaon,Prafulla Roy,chhaya banu wadkar c amir puri jairaj l hansa moti p k jagdish devi aghajani sethi s dey,1942,social
nai duniya,Abdul Rashid Kardar,khan shobhana avtar samarth mazhar jairaj azurie p wasti hari jeevan ram shivdasani,1942,social
nari,Raja Yagnik,kapoor urmila kamla marathe rasool pawar anant jilloobai warekar trilok ghulam lalita,1942,social
nazrana,G. P. Kapoor,jugal kishore anuradha ashiq devi mahipal lalita hussain,1942,costume
nishani,Roop K. Shorey,ragini majnu rooplekha ghulam qadir ranibala,1942,social
parda nasheen,I. A. Hafizji,hanuman haseena prasad dulari girdhari ram ganesh nargis,1942,social
phir milenge,Sohrab Modi,meena n tarapore bakar ali athavale sohrab e modi k singh sadiq ghulam abu sardar hussain akhtar shorey,1942,social
pritam,Mohan Sinha,shyam khanjar rasool munshi banerji rajinder maya ghulam sunder singh shanti,1942,social
pyara watan,M. Udwadia,dave kalyani samson kashar yashwant benjamin alaknanda but,1942,costume action
raisaheb,S. M. Yusuf,kapoor dalpat bibijan musharraf mustafa trilok mirza jagdish kesarbai sethi kaushalya rattanbai gope,1942,social
raja rani,Najam Naqvi,kapoor khan sunalini yagnik mazhar trilok maya devi david navin vanamala,1942,unknown
return of toofan mail,Aspi Irani,rewashankar shamim arun raza bibijan mehdi dixit azurie jagdish hari sethi firoz dastur brijmala shivdasani,1942,action
roti,Mehboob Akhtar,khan mohan nawab ali sheikh faizabadi agha chandra akhtaribai devi sitara mukhtar ashraf kayam mirza,1942,social
sachcha sapna,Madhav Kale,kale kumar madhav rajkumari ashalata,1942,social
saheli,S. M. Yusuf,sayed pahari aziz rekha jillobai ahmed sanyal devi shahzadi rattanbai pramila,1942,social drama
sarovar ki sundari a.k.a. lady of the lake,A. M. Khan,n anwaribai prakash a haroon shhzadi ameena alam zebunissa romila ansari rafique s benjamin,1942,costume action
saugandh,Hemchandra Chunder,chakraborty asit dar puttan pahari jahar bharati baran supriya sanyal nemo devi mukherjee biswas tulsi ganguly kashmiri chhabi,1942,social
savera,V.C. Desai,shobhana arun nirmala samarth nagendra kumar devi kesari brijmala yakub,1942,social
sewa,Dhirubhai Desai,shyam kumari anwaribai shanta raja radharanu prabhashankar sunder zahur,1942,social
sharda,Abdul Rashid Kardar,shyam nirmala amir prasad kumar ulhas devi wasti badri banu mehtab,1942,family drama
sheikh chilli,Kikubhai Desai,navinchandra kamala vasantrao dhulia puri ali l moti azoorie s pehalwan bose,1942,comedy
shobha,Kumarsen Samarth,jal vimal deshpande shobhana modak mubarak samarth shahu khambata sulochana chatterjee sardesai dewan david karan kusum,1942,social
society,Nazir,janardhan sharma rajkumari nazir devi sitara alaknanda shukla gope,1942,social
station master,Chimanlal Luhar,prem amirbai suraiya ratnamala pratima adib gulab karnataki jagdish devi jeevan sethi kaushalya umakant shakir,1942,social
suhagan,Jagatrai Pesumal Advani,bhudo advani kalyani kumar kajjan da jilloobai musharraf kesarbai jehanara radharani mirza,1942,social family drama
sukhi jeevan,"Bhagwan, Harishchandra",khan shyam bibijan harishchandra bhagwan kumar samson ashalata w m nazira,1942,social
swaminath,Wajahat Mirza,prem adajania n shobhana samarth adib jilloobai keki majid k bibjan singh,1942,social
swapna,Zia Sarhadi,bhudo advani balwant billimoria alaknanda kaushalya e singh,1942,social
tamanna,Phani Majumdar,suraiya kumari c jairaj dey shanta leela p jagdish k dewan sethi karan desai nargis,1942,social
tamasha,Dwarka Khosla,khan urmila gope samson devi cooper w m minoo sardar devaskar akhtar,1942,social
ujala,K. M. Multani,kapoor jillani khan mubarak mastana musharraf prithviraj mirza banu rattanbai naseem,1942,social
uljhan,N.R. Acharya,khan amir mazhar anjali rajkumari shukla devi bhim krishnakant banu amritlal sardar akhtar,1942,social
ulti ganga,Keshavrao Dhaiber,khan brijrani tarapore abu bakar ali gulab athavale paresh bannerjee putlibai mehboob e sadat pramila,1942,social
vasantsena,Gajanan Jagirdar,jagirdar bedi modak sunalini tarapore shahu yagnik vimla nazir devi tripathi vishwas vanamala e raj gajanan navin,1942,drama
vijay,Mohan Sinha,n husn harish khote sankatha a prasad ansari maya devi agha banu durga,1942,social
yaad,Mazhar Khan,khan avtar batra mazhar hadi veena azurie agha ram shahzadi satish devaskar,1942,social
zamindar,Moti B. Gidwani,manorama d apte shanta mohammed esmail azmal mota khairati ghulam s m narang durga,1942,social
zevar,K. Amarnath,bilimoria rama mirajkar shukal indurani veena prasad rajkumari jagan badri e jayant,1942,action
aabroo,Nazir,masud chandabai ahmad nazir jagdish devi sethi sitara yakub laddan,1943,social
aadab arz,V.C. Desai,jaywant dulari mukesh dewan karan nalini,1943,social drama
aage kadam,N.R. Acharya,shankar mubarak kishore anjali rajkumari narmada padma devi bannerji nand motilal shukla,1943,social
aankh ki sharm,Balwant Bhatt,kapoor gute nayampalli minakshi bibijan prithviraj trilok himalayawala agha kaushalya dalpat nalini,1943,social
amaanat,Lalit Chandra Mehta,bhudo husn advani minakshi nawab harish sankatha prasad dulari ali kayam agha banu laddan,1943,action
andhera,Aspi Irani,arun baby madhubala c kumar rajkumari k devi sitara kesari m dey bhagwandas,1943,social melodrama
angoori,Mahesh Kaul,dar sunetra angre ulhas kaushalya kashmiri,1943,social
andhi duniya,Produced by Zenith Pictures,yadav b nandrekar begum feroza,1943,social
angoothi,Bibhuti Mitra,chandraprabha prahlad nair kumar leela priti s majumdar mishra ashok,1943,social
ashirwad,Ramchandra Thakur,kumthekar nayampalli b rampyari pawar balwant jilloobai ali qayam vatsala s lalita singh,1943,family drama
badalti duniya,Mohan Sinha,kapoor mumtaz c prasad rajkumari trilok k badri dey shukla shanti,1943,social
badla,Bhagwan,c baburao devika bhagwan anjali devi ramchandra raj pehlwan kamal,1943,action drama
bansari,Jayant Desai,urmila shamim charlie ishwarlal noor mohammed dixit bhagwan da kesari,1943,social
bhagta bhoot,Ramanlal Desai,vasantrao bano prakash mumtaz amir baburao mirajkar brajrani begum firoza madhurika pehalwan,1943,action
bhaichara,G.K. Mehta,bharat kumari sunetra rai sinha hadi veena bhushan ramesh himmat rajinder ansari singh,1943,social
bhakta raidas,Keshavrao Dhaiber,n menka marathe anant pawar paresh banerji k sheela lalita singh,1943,devotional biopic
bhaktaraj,Jayant Desai,mubarak bhagwan dixit billimoria vasanti da padnis v kaushalya e sheela,1943,devotional
bhalai,Nazir Ahmed Khan,kapoor s kumar prithviraj nazir devi sitara mahajbin gope ranibala,1943,social
chhed chhad,K. Amarnath,rajkumari majid nazir devi sitara gope,1943,social
chhoti maa a.k.a. nurse,Chaturbhuj Doshi,arun khursheed sheikh kumar indira prabha anil,1943,family drama
chirag,Ram Daryani,kumari ishwarlal veena gulab kaushalya gope,1943,social
duhai,V. M. Vyas,zarina noor apte shanta kumar musharraf ansari kesarbai jehan mirza,1943,social
dulhan,Gunjal,pesi rama modak shukal shahu prasad sankatha katju yashodara banerji rajkumari maya patel shukla kanhaiyalal,1943,family drama
duniya diwani,K. L. Khan,khan ramola bibijan begum billimoria samson w m e firoza,1943,social
fashion,S.F. Hasnain,sabita bhudo mohan advani prasad kamta nazir chandra devi s sardar akhtar,1943,social
gauri,Kidar Nath Sharma,kapoor pasan kamla shamim nagendra prithviraj rajkumari chatterjee shukla amarnath monica raj desai,1943,social
hamari baat,M. I. Dharmsey,kapoor nawaz suraiya shah mumtaz jairaj ali devika rajkumari p rani david raj shukla,1943,social
hospital a.k.a. jogajog,Sushil Majumdar,chakraborty manorama ahindra chowdhary jawahar devi kanan krishnakant tulsi hiralal,1943,social
hunterwali ki beti,Batuk Bhatt,atish shroff nadia dalpat mansur boman gulab fearless sayani john cawas sardar,1943,action
inkaar,Sudhir Sen,pahari sunalini shahadi rasool leela putlibai sanyal jagdish devi ghulam sethi agha desai swarnalata,1943,social
ishara,J.K. Nanda,kapoor n kumtekar suraiya masood pratima swarnlata prithviraj k jagdish vatsala devi sethi singh,1943,social
jadui jhoola,A. M. Khan,kumtekar zebunnisa shiraz ameena ansari vatsala rafiq,1943,fantasy
kanoon a.k.a. the law,Unknown,modak shahu prasad badri mehtab,1943,unknown
kashinath,Nitin Bose,asit puttan manorama nawab bharati baran dilip nemo sunanda devi bannerji radharani bose,1943,social
khazanchi ki beti,Nari Ghadiali,maqbul sharda effendi shahadi bibijan dudha majid ghulam hussain yusuf,1943,action
khooni laash,AR Kardar,shantarin baburao ali billimoria e,1943,action thriller
kismet,Gyan Mukherjee,nawaz shah mubarak chandraprabha mumtaz h ashok kanu kumar v david desai roy shanti,1943,drama
koshish,Rafiq Rizvi,kapoor musharaf husn sunetra kalyani trilok nissar banu mirza maste yakub,1943,social
kurbani,Ram Daryani,ishwarlal khote sheikh majid vasanti kaushalya gope durga,1943,social
ladaai ke baad,R. S. Junarrkar,paranjpe deshpande sharda modak shahu raja pradhan snehprabha david kusum,1943,social
love,Phani Majumdar,joshi sunalini apte shanta narayan devi narhari,1943,unknown
mahasati ansuya,V. M. Vyas,shobhana modak samarth shahu rampyari khote billimoria e gope durga,1943,devotional
mahatma vidur,Parshwanath Yeshwant Altekar,vasantrao nayampalli pagnis khote jhaveri raja katju kalyani da v david yashodhra pehalwan sandow durga sita,1943,devotional
manchali,R.C. Talwar,manorama prakash ramola dulari jyoti ram sunder,1943,social
masterji,Krishna Gopal,nawaz shah bibijan harish veena ahmed leela mishra patel syed sardar akhtar shanti,1943,social
mauj,"Batuk Bhatt, Babubhai Mistri",nadia pahari mansur sanyal fearless agha kaushalya sardar nazira,1943,social action
mazaaq,Zahur Raja,pahari madhuri raja haroon sanyal tara radharani zahur,1943,social
mera khwab,Hansraj Patel,prakash abbas samson putlibai zebunissa,1943,social
mohabbat,Phani Majumdar,navinchandra sunalini pahari manorama c nair apte shanta katju yashodara sanyal jagdish devi k sethi s dey,1943,drama romance
mohabbat ki jeet,Ramanlal Desai,navinchandra nadia joshi nasir pawar narayan leela agha fearless s narhari shakir,1943,action
mr. jhatpat,Harbans,bibijan harishchandra billimoria radharani e dalpat devasker nazira,1943,action
muskurahat,"Ram Kamlani, Dwarka Khosla",motilal leela gope vanmala hari ghory mishra shivdasani,1943,drama romance
nadaan,Zia Sarhadi,murad masood noor jilloobai nazir maya devi jehan alaknanda aman,1943,social
nagad narayan,Vishram Bedekar,deshpande masood nayampalli pratima baburao leela devi rose pendharkar shakir desai kusum,1943,social
nai kahani,D.D. Kashyap,shalini jairaj nandrekar chhotu paresh rane bannerjee p rose,1943,social
nai zindagi,S. Khalil,nazma sheikh satish gope agha mukhtar khatoon anees yakub laddan,1943,social
najma,Mehboob Khan,murad veena kumar majid rajkumari agha devi sitara shukla yakub ashok,1943,social muslim
namaste,"M. Sadiq, S.U. Sunny",protima allauddin nayampalli b rajkumari dasgupta jagdish misra wasti sethi s shukla,1943,social
naukar,Syed Shaukat Hussain Rizvi,mohan shobhana samarth noor balwant musharraf moti miss chandra jehan mirza singh yakub,1943,social melodrama
naya tarana,Najam Naqvi,paranjpe sharda pratima jairaj pradhan raja chandrika p snehprapha devi david,1943,social
naya zamana,Nanubhai Vakil,khanjar bano ghori munshi gulab mehar sarojini nazir s benjamin rajnikant,1943,drama
paapi,Majnu,shah madhuri batra salma majnu satish miss iqbal zahur,1943,social
pagli,Shankar Mehta,kapoor asha charlie noor mohini ramesh mohammed aruna roza devi,1943,social
paigam,Surendra Desai,khanjar pratima munshi hadi sulochana kumar chatterjee ansari devi anil surendra sadhana bose,1943,social
panghat,"Mahesh Chandra, K.J. Parmar",ratnamala sushil manorama ismail pawar kumar leela jayant jeevan m alaknanda umakant,1943,social
paraya dhan,Nitin Bose,baby sunalini madhubala desai balwant leela bannerjee rajkumari jagdish shukla maya devi sethi debi radharani singh mukherji,1943,social family drama
pistolwali,Nari Ghadiali,atish nagar bibijan ali romila sayani benjamin shahzadi amritlal,1943,action
poonji,"Ravindra Dave, Vishnu Pancholi",anwaribai ragini manorama ismail ajmal m jayant,1943,social
prarthana,Sarvottam Badami,sabita nimbalkar n menka ali kajjan k devi mehboob motilal singh sadat,1943,social
pratiggya,Nandlal Jaswantlal,meena bhudo kumari advani sunetra baby swarnlata hari motilal shivdasani,1943,social
prem sangeet,Wahid-ud-din Zia-ud-din Ahmed,anwar khan h avtar prakash jairaj gulab rajkumari p nina w ram m shukla,1943,social
prithvi vallabh,Sohrab Modi,ali shanta modi sadiq meena kumari nasir khote karnataki kajjan sohrab singh durga amirbai al yagnik prasad sankatha latika k navin,1943,historical drama
pyara watan,M. Udwadia,dave kalyani samson da kashar yashwant benjamin alaknanda but,1943,social
rahgeer,A. Rashid,kapoor sehgal shantarin masood anwaribai habib zohra trilok shahzadi yakub,1943,social
raja,Kishore Sahu,protima sahu prasad kishore anant ramesh moni da chatterjee gulab prabhu vijay samson badri ranibala gupta,1943,social
ram rajya,Vijay Bhatt,prem ranjana kumari shobhana samarth adib prasad athavale shanta chandrakant yashwant badri umakant madhusudan,1943,religious
rani,P.C. Barua,kapoor c bikram barua patience p jamuna cooper johar ganguly kalavati,1943,social
rekha,Mahendra Thakore,sankata harish prasad chitnis leela moni chatterjee banerjee maya padma bannerji,1943,social
sahara,Jagatrai Pesumal Advani,meena shah d irshad renuka pran devi razia s narang zahur,1943,social
