Title,Director,Cast,Year,Genre
bimata a.k.a. bijoy basant a.k.a. stepmother,Dhirendranath Ganguly,dhirendranath miss billy devi ganguly joy seeta,1922,social
bisha briksha a.k.a. bishabriksha a.k.a. poison tree,Jyotish Bannerjee,gopalchandra lila durgadas bhattacharya bannerjee miss basantakumari manoranjan debi kartik dey light,1922,social drama
bodana a.k.a. bhakta bodhana a.k.a. shri ranchhodrai,S. N. Patankar,sandow raja,1922,devotional legend
damaji a.k.a. bhakta damaji a.k.a. bhagwata bhakta damaji,Baburao Painter,n ganpat d baburao pawar haskar ravji sushilabai bakre gulabbai sarpotdar pendharkar m zunzharrao,1922,devotional
devi todi,Kanjibhai Rathod,jamna,1922,devotional
doom of the yadavas a.k.a. yadav vinas,Unknown,unknown,1922,mythology
draupadi swayamwar,Vishnupant Divekar,kamala,1922,mythology
draupadi veni bandhan a.k.a. the fall of the kauravas a.k.a. veni bandhan,Vishnupant Divekar,n soni damle s patankar,1922,mythology
gangavataran a.k.a. bhagirathi ganga,Unknown,dadibhai cooper sarkari patience,1922,mythology
hara gouri a.k.a. lord shiva and parvati,Dhirendranath Ganguly,unknown,1922,religious
hari talika,G. V. Sane,bhaurao datar,1922,mythology
indrajit a.k.a. indrajit o lady teacher,Dhirendranath Ganguly,ganguly dhirendranath devi seeta,1922,social
jadunath,S. N. Patankar,koregaonkar gokhale trimbakrao vyas pradhan tara k baba kelkar g,1922,legend
kalidas,S. N. Patankar,vyas tara koregaonkar baba,1922,devotional biopic
karna a.k.a. deserted son of kunti,S. N. Patankar,sandow raja,1922,mythology
lady teacher,Dhirendranath Ganguly,unknown,1922,comedy
laila majnu,J. J. Madan,h patience waring miss sherwin jeanetta cooper w dot foy,1922,legend romantic
mahashweta kadambari a.k.a. shap sambhram,S. N. Patankar,n koregaonkar vyas tara thatte baba s patankar,1922,mythology
malati madhav,Kanjibhai Rathod,n gangaram moti miss khalil tara r vaidya,1922,mythology
pandavas in exile a.k.a. pandav vanavas,G. V. Sane,bhaurao datar pawar jadhav sakharam bachu,1922,mythology
parikshit,Unknown,vithaldas panchotia,1922,mythology
parsuram,Unknown,unknown,1922,mythology
pati bhakti a.k.a. pavitra leelavati a.k.a. husband worship,J. J. Madan,sayed mohan master patience manilal manelli cooper signorina f hussain,1922,social drama
pitroddhar a.k.a. ganga the redeemer,Manilal Joshi,unknown,1922,mythology
princess budur a.k.a. rajkumari budur a.k.a. tale of kamar-al-zaman,J. J. Madan,dorothy edna patience dadibhai chapgar liguoro cooper bayley dalies eugenio de sarkari,1922,costume fantasy
radha vilas,Vishnupant Divekar,soni y datar v,1922,mythology
raja bhoj,Unknown,albertina cooper patience,1922,legend
raja parikshit a.k.a. janmejaya's serpent sacrifice,Manilal Joshi,miss yakbal,1922,mythology
ramayana,Jyotish Bannerjee,master mannelli patience da cooper signorina bhagaban f,1922,religious epic
ratnavali a.k.a. the lady from lanka,Manilal Joshi,miss yakbal elizer,1922,mythology legend
ratnavali a.k.a. ratnabali a.k.a. sea nymph of ceylon,"Jyotish Bannerjee, C. Legrand",gohar c pandit patience miss albertina cooper saida legrand tulsidutt,1922,mythology legend
sadhu aur shaitan,"Nitish Lahiri, Dhirendranath Ganguly",dhirendranath sushilabala lina ganguly manmatha valentine pal,1922,comedy
sant namdev a.k.a. saint namdeo,Dadasaheb Phalke,unknown,1922,devotional
sant sakhubai,G. V. Sane,nirantar visubhau shanta nalgunde,1922,devotional
sati a.k.a. kalighat a.k.a. daksha yagna a.k.a. origin of mahakali temple,Unknown,cooper patience,1922,mythology
sati anjani a.k.a. birth of hanuman,S. N. Patankar,tara koregaonkar shah c,1922,devotional biopic
sati toral,Kanjibhai Rathod,sakina moti miss khalil gani babu,1922,devotional
satya narayan,V. S. Nirantar,salunke shinde anna,1922,unknown
sharmista devyani,Unknown,unknown,1922,drama puranic
shishupal vadh a.k.a. the killing of shishupal,G. V. Sane,bhaurao sonabai datar pawar sane bachu,1922,mythology
shri ganesh janma a.k.a. ganesh avatar,G. V. Sane,bhaurao datar madhav malasure,1922,unknown
shri markandeya avtar a.k.a. shiv mahima a.k.a. devotion's reward,S. N. Patankar,shah c vyas damle baba,1922,devotional
shri satya narayan,Kanjibhai Rathod,n babu sakina raja moti miss khalil r tara gani vaidya,1922,devotional
sukanya savitri,Kanjibhai Rathod,sakina miss jamna moti,1922,devotional
suryakumari,Narayan Deware,raja moti miss khalil tara sandow,1922,costume
tara the dancer a.k.a. nartaki tara,J. J. Madan,prabhodh patience miss chandra cooper bose,1922,social
veer abhimanyu,Manilal Joshi,vakil fatma begum sultana madanrai,1922,mythology
virat parva,Vishnupant Divekar,soni y datar v,1922,mythology
babruwahan,Dadasaheb Phalke,bhaurao datar jadhav sakharam pendse dada,1923,mythology
bhakta gora kumbhar a.k.a. gora kumbhar the devout,Unknown,devotional,1923,unknown
bhakta sudhanva,Unknown,unknown,1923,devotional
buddha dev a.k.a. lord buddha,Dadasaheb Phalke,bhaurao datar charubai salunke pendse dada anna,1923,religious biopic
champraj hada,Unknown,unknown,1923,devotional
chintamoni,Dhirendranath Ganguly,unknown,1923,devotional
durvas shaap a.k.a. curse of durvas,S. N. Patankar,tara koregaonkar thatte,1923,mythology
gayatri mahatmya a.k.a. venukumar,Unknown,unknown,1923,mythology
